kdkec,nmkec,kddesa,nmdesa,nmsls,idsls,latitude,longitude
070,TEGINENENG,011,TRIMULYO,RT 005 DUSUN TRIMULYO,18090700110006,-5.179652471069183,105.12590885597486
070,TEGINENENG,011,TRIMULYO,RT 001 DUSUN SERBAMAJU,18090700110001,-5.179574545454545,105.13732818181819
070,TEGINENENG,011,TRIMULYO,RT 007 DUSUN TRIMULYO,18090700110007,-5.181109868307693,105.12301160148718
070,TEGINENENG,011,TRIMULYO,RT 012 DUSUN WONOREJO,18090700110012,-5.173038622115385,105.11952871410253
070,TEGINENENG,011,TRIMULYO,RT 017 DUSUN SUGIHAN,18090700110017,-5.162598726938917,105.11436938976746
070,TEGINENENG,011,TRIMULYO,RT 016 DUSUN SIDOMULYO,18090700110016,-5.162814948611111,105.12401792314817
070,TEGINENENG,011,TRIMULYO,RT 019 DUSUN OGAN I,18090700110019,-5.168730364655244,105.10795852236218
070,TEGINENENG,011,TRIMULYO,RT 008 DUSUN TRIMULYO,18090700110008,-5.184308433048433,105.12214645299146
070,TEGINENENG,011,TRIMULYO,RT 004 DUSUN SERBAMAJU,18090700110004,-5.187673103846153,105.13074322038462
070,TEGINENENG,011,TRIMULYO,RT 024 DUSUN OGAN II,18090700110024,-5.182702259636364,105.09958717254544
070,TEGINENENG,011,TRIMULYO,RT 003 DUSUN SERBAMAJU,18090700110003,-5.182330649622641,105.13221206056603
070,TEGINENENG,014,GERNING,RT 013 DUSUN TRIMURJO,18090700140012,-5.160567230195738,105.06480212090537
070,TEGINENENG,011,TRIMULYO,RT 026 DUSUN OGAN II,18090700110026,-5.188732197432432,105.0944758422973
070,TEGINENENG,011,TRIMULYO,RT 009 DUSUN TRIMULYO,18090700110009,-5.178993453225806,105.12401230483874
070,TEGINENENG,011,TRIMULYO,RT 006 DUSUN TRIMULYO,18090700110005,-5.181281616962025,105.12546033518989
070,TEGINENENG,011,TRIMULYO,RT 029 DUSUN SIDOMULYO,18090700110029,-5.166030809356725,105.12228309064332
070,TEGINENENG,011,TRIMULYO,RT 020 DUSUN OGAN I,18090700110020,-5.171159676687906,105.10770413283078
070,TEGINENENG,010,MARGO MULYO,RT 015 DUSUN TEGALREJO,18090700100015,-5.150027743452381,105.1580666380952
070,TEGINENENG,010,MARGO MULYO,RT 014 DUSUN TEGALREJO,18090700100014,-5.153912326811594,105.1582603405797
070,TEGINENENG,010,MARGO MULYO,RT 008 DUSUN MARGOMULYO II,18090700100008,-5.154030083349961,105.1467253341722
070,TEGINENENG,010,MARGO MULYO,RT 005 DUSUN MARGOMULYO II,18090700100005,-5.152884399562117,105.14244706217121
070,TEGINENENG,010,MARGO MULYO,RT 002 DUSUN MARGOMULYO I,18090700100002,-5.152396465016977,105.15000741001289
070,TEGINENENG,010,MARGO MULYO,RT 001 DUSUN MARGOMULYO I,18090700100001,-5.154569968458092,105.14861661596704
070,TEGINENENG,010,MARGO MULYO,RT 016 DUSUN TEGALREJO,18090700100016,-5.149323459090909,105.15416431464645
070,TEGINENENG,016,SRIWEDARI,RT 011 DUSUN SRIMULYO,18090700160011,-5.228068386519444,105.11383278694265
070,TEGINENENG,010,MARGO MULYO,RT 021 DUSUN TRIDADI II,18090700100021,-5.143607737541896,105.15533815966545
070,TEGINENENG,004,BUMIAGUNG,RT 016 DUSUN KARYA AGUNG RW 07,18090700040012,-5.188759454796156,105.17451909286059
070,TEGINENENG,010,MARGO MULYO,RT 010 DUSUN WINDUMULYO,18090700100010,-5.1568829876543205,105.15754901635806
070,TEGINENENG,010,MARGO MULYO,RT 023 DUSUN TRIDADI II,18090700100023,-5.146471174613381,105.15599449727102
070,TEGINENENG,010,MARGO MULYO,RT 011 DUSUN WINDUMULYO,18090700100011,-5.157538164285713,105.15961121666666
070,TEGINENENG,010,MARGO MULYO,RT 004 DUSUN MARGOMULYO I,18090700100004,-5.159396676301098,105.1515631762074
070,TEGINENENG,010,MARGO MULYO,RT 003 DUSUN MARGOMULYO I,18090700100003,-5.155710889857137,105.15202364718797
070,TEGINENENG,008,NEGARA RATUWATES,RT 002 DUSUN INDUK,18090700080002,-5.136941428148261,105.18516778235063
070,TEGINENENG,011,TRIMULYO,RT 014 DUSUN WONOREJO,18090700110014,-5.174109642857142,105.111679702381
070,TEGINENENG,010,MARGO MULYO,RT 013 DUSUN TEGALREJO,18090700100013,-5.152753643137255,105.16006009869277
070,TEGINENENG,010,MARGO MULYO,RT 007 DUSUN MARGOMULYO II,18090700100007,-5.154587346585277,105.14478173962202
070,TEGINENENG,010,MARGO MULYO,RT 012 DUSUN WINDUMULYO,18090700100012,-5.157668839455782,105.1621683170068
070,TEGINENENG,010,MARGO MULYO,RT 018 DUSUN TRIDADI I,18090700100018,-5.140260976500983,105.15161587293586
070,TEGINENENG,004,BUMIAGUNG,RT 010 DUSUN SRI AGUNG RW 05,18090700040006,-5.191055074618965,105.183717741287
070,TEGINENENG,010,MARGO MULYO,RT 019 DUSUN TRIDADI I,18090700100019,-5.139580963687436,105.15509952512218
070,TEGINENENG,005,BATANG HARI OGAN,RT 014 RW 04,18090700050014,-5.168734333333333,105.24269653333327
070,TEGINENENG,010,MARGO MULYO,RT 020 DUSUN TRIDADI I,18090700100020,-5.141402517294372,105.1552436732161
070,TEGINENENG,010,MARGO MULYO,RT 024 DUSUN TRIDADI II,18090700100024,-5.146314226282052,105.15773867948724
070,TEGINENENG,009,GUNUNG SUGIH BARU,RT 001 DUSUN INDUK,18090700090001,-5.132581527777778,105.19007829861108
070,TEGINENENG,009,GUNUNG SUGIH BARU,LADANG 002P,18090700091001,-5.130754020499955,105.18569992700054
070,TEGINENENG,009,GUNUNG SUGIH BARU,RT 003 DUSUN SUMBERAG,18090700090003,-5.139431993149915,105.20496202363896
070,TEGINENENG,009,GUNUNG SUGIH BARU,SAWAH 007P,18090700091003,-5.13152217249996,105.19797752326531
